setting,layers,alpha,target_label,accuracy_past,accuracy_present,accuracy_future
baseline_orig,,,,0.6366666666666667,0.6066666666666667,0.44
baseline_saes,[],,,0.6366666666666667,0.61,0.43666666666666665
amplified,[15],5.0,past,0.6866666666666666,0.6533333333333333,0.42333333333333334
amplified,[15],5.0,present,0.61,0.6633333333333333,0.42333333333333334
amplified,[15],5.0,future,0.6633333333333333,0.64,0.44333333333333336
amplified,[16],5.0,past,0.65,0.65,0.42333333333333334
amplified,[16],5.0,present,0.5766666666666667,0.71,0.4033333333333333
amplified,[16],5.0,future,0.5833333333333334,0.6866666666666666,0.38666666666666666
amplified,"[15, 16]",5.0,past,0.6766666666666666,0.5966666666666667,0.44
amplified,"[15, 16]",5.0,present,0.5366666666666666,0.7266666666666667,0.38666666666666666
amplified,"[15, 16]",5.0,future,0.56,0.69,0.36
amplified,[15],10.0,past,0.71,0.49,0.48
amplified,[15],10.0,present,0.6033333333333334,0.6133333333333333,0.45
amplified,[15],10.0,future,0.4866666666666667,0.3933333333333333,0.45
amplified,[16],10.0,past,0.66,0.64,0.41333333333333333
amplified,[16],10.0,present,0.5333333333333333,0.7533333333333333,0.3566666666666667
amplified,[16],10.0,future,0.44666666666666666,0.6233333333333333,0.30666666666666664
amplified,"[15, 16]",10.0,past,0.37666666666666665,0.37,0.4033333333333333
amplified,"[15, 16]",10.0,present,0.4266666666666667,0.41333333333333333,0.4666666666666667
amplified,"[15, 16]",10.0,future,0.0,0.0,0.0
amplified,[15],2.0,past,0.6466666666666666,0.6366666666666667,0.44
amplified,[15],2.0,present,0.63,0.6233333333333333,0.43333333333333335
amplified,[15],2.0,future,0.6466666666666666,0.64,0.43666666666666665
amplified,[16],2.0,past,0.6366666666666667,0.62,0.43666666666666665
amplified,[16],2.0,present,0.6266666666666667,0.6466666666666666,0.4266666666666667
amplified,[16],2.0,future,0.6166666666666667,0.63,0.42333333333333334
amplified,"[15, 16]",2.0,past,0.6566666666666666,0.65,0.44333333333333336
amplified,"[15, 16]",2.0,present,0.62,0.66,0.42333333333333334
amplified,"[15, 16]",2.0,future,0.63,0.6633333333333333,0.43
weakened,[15],0.1,past,0.6266666666666667,0.59,0.44
weakened,[15],0.1,present,0.64,0.6033333333333334,0.44333333333333336
weakened,[15],0.1,future,0.6366666666666667,0.5866666666666667,0.44666666666666666
weakened,[16],0.1,past,0.6333333333333333,0.5966666666666667,0.44333333333333336
weakened,[16],0.1,present,0.6433333333333333,0.6,0.4533333333333333
weakened,[16],0.1,future,0.64,0.5966666666666667,0.45666666666666667
weakened,"[15, 16]",0.1,past,0.63,0.5866666666666667,0.44
weakened,"[15, 16]",0.1,present,0.6466666666666666,0.5766666666666667,0.4633333333333333
weakened,"[15, 16]",0.1,future,0.6466666666666666,0.5766666666666667,0.4533333333333333
weakened,[15],0,past,0.6266666666666667,0.5866666666666667,0.44
weakened,[15],0,present,0.64,0.5966666666666667,0.44666666666666666
weakened,[15],0,future,0.6366666666666667,0.5833333333333334,0.44666666666666666
weakened,[16],0,past,0.63,0.5966666666666667,0.44666666666666666
weakened,[16],0,present,0.6466666666666666,0.5966666666666667,0.4533333333333333
weakened,[16],0,future,0.6466666666666666,0.5966666666666667,0.45666666666666667
weakened,"[15, 16]",0,past,0.63,0.5833333333333334,0.44333333333333336
weakened,"[15, 16]",0,present,0.65,0.5733333333333334,0.4666666666666667
weakened,"[15, 16]",0,future,0.6466666666666666,0.57,0.45666666666666667
