layer,label,feature,alpha_amplify
15,past,15316,10.0
15,past,23112,7.0
15,past,28855,10.0
15,past,30777,9.0
16,past,1221,8.0
16,past,3638,7.0
15,present,5112,4.0
15,present,7890,8.0
15,present,15706,6.0
15,present,26492,10.0
15,present,30777,7.0
16,present,3638,4.0
16,present,5215,6.0
16,present,7895,9.0
16,present,9951,7.0
16,present,23504,8.0
16,present,25624,3.0
15,future,702,1.5
15,future,5112,1.5
15,future,7890,3.0
15,future,12722,8.0
15,future,15316,7.0
15,future,15706,2.0
15,future,23112,5.0
15,future,26492,1.5
15,future,28855,2.0
15,future,30777,1.5
15,future,32090,1.5
16,future,1221,3.0
16,future,3638,2.0
16,future,3689,5.0
16,future,5215,8.0
16,future,6922,1.5
16,future,7895,9.0
16,future,9951,1.5
16,future,12508,1.5
16,future,17716,1.5
16,future,23504,1.5
16,future,25624,4.0
16,future,28602,2.0
16,future,32043,7.0
