label,stream,layer,width,mse,rmse,fvu
future,residual,14,8x,2.726433876887313e-06,0.001651191653590616,0.0002321844175624712
future,residual,15,8x,2.5831755010585766e-06,0.001607226026748751,0.00016964641461467367
future,residual,16,8x,3.6225278563506436e-06,0.0019032939490133004,0.00018618836616129814
future,residual,17,8x,3.2436621495435247e-06,0.001801016976472883,0.00013495513448608153
future,residual,18,8x,3.975403615186224e-06,0.001993841421775118,0.00013193099416458493
future,residual,19,8x,4.950962647853885e-06,0.002225075874628523,0.00013543155092220124
future,residual,20,8x,3.353463625899167e-06,0.0018312464678188916,7.648097217182527e-05
future,residual,21,8x,3.075443146371981e-06,0.0017536941427660586,5.637233633972217e-05
future,residual,22,8x,4.350332346803043e-06,0.002085745033987386,6.810729303473935e-05
future,residual,23,8x,3.5296516216476448e-06,0.0018787367089743163,4.727515957965071e-05
future,residual,24,8x,7.479447049263399e-06,0.0027348577749607746,8.517527171667954e-05
future,residual,25,8x,1.365525895380415e-05,0.0036953022817902393,0.00013339884707234463
future,residual,26,8x,1.770319249772001e-05,0.0042075161910229185,0.00014525352405740085
future,residual,27,8x,2.0162295186310075e-05,0.0044902444461643815,0.00013910582481307384
future,residual,28,8x,1.353869720333023e-05,0.003679496868232154,7.480117102431224e-05
future,residual,29,8x,5.7261393521912396e-05,0.007567125842875378,0.00024368809588768455
future,residual,30,8x,5.4885047575226054e-05,0.007408444342453148,0.00016917438612162728
future,residual,31,8x,0.0003311462642159313,0.01819742465888872,0.00043610077796083684
future,mlp,14,8x,5.806227250104712e-07,0.0007619860399052408,0.0001524770325156043
future,mlp,15,8x,3.1506121445090685e-07,0.0005613031395341619,6.70085027880241e-05
future,mlp,16,8x,2.6874087666328705e-07,0.0005184022344312252,4.9060610182447654e-05
future,mlp,17,8x,1.8225054532194918e-07,0.00042690812281092656,3.3653149052863135e-05
future,mlp,18,8x,2.860923302705487e-07,0.000534875995227444,4.922135979176803e-05
future,mlp,19,8x,5.305071795191907e-07,0.0007283592379582967,8.817356135295109e-05
future,mlp,20,8x,5.915139809076209e-07,0.0007690994609981344,9.327293072916854e-05
future,mlp,21,8x,1.0215068186880671e-06,0.0010106962049439322,0.00014428306512213096
future,mlp,22,8x,1.1905325436600833e-06,0.0010911152751474445,0.00017767756207679816
future,mlp,23,8x,1.5241644177876879e-06,0.0012345705398184778,0.0002294576829944836
future,mlp,24,8x,3.944134277844569e-06,0.00198598446062515,0.0005109673465851702
future,mlp,25,8x,1.7845220554590924e-06,0.0013358600433649823,0.00021462386831369782
future,mlp,26,8x,5.344335022527957e-06,0.0023117817852314603,0.0005312058850655426
future,mlp,27,8x,6.077601938159205e-06,0.0024652792819798743,0.0004680398932483029
future,mlp,28,8x,4.11624296248192e-06,0.0020288526221689737,0.0001958089254886626
future,mlp,29,8x,8.006033567653503e-06,0.002829493517867377,0.0002461764609205773
future,mlp,30,8x,1.6301855794154108e-05,0.00403755567071887,0.00025623982556879904
future,mlp,31,8x,0.00017106950690504164,0.01307935422354795,0.0004038302815028472
future,attention,14,8x,5.452313871501246e-07,0.000738397851534066,0.001063677534514147
future,attention,15,8x,8.834427376314125e-07,0.0009399163460816141,0.0011916504289813928
future,attention,16,8x,1.0261663874189253e-06,0.0010129987104724888,0.0016048313242413184
future,attention,17,8x,5.777143087470904e-06,0.00240356882311926,0.006372993256929764
future,attention,18,8x,9.013755857267824e-07,0.0009494080185709316,0.0016033013189432892
future,attention,19,8x,9.358801094094815e-07,0.0009674089669883578,0.0033971072199894654
future,attention,20,8x,2.7523899461812107e-06,0.0016590328345699524,0.006333710865954219
future,attention,21,8x,8.515306717526983e-07,0.0009227841956561124,0.0013014644689649277
future,attention,22,8x,7.586858146169106e-07,0.0008710257255769836,0.0019730156325083424
future,attention,23,8x,1.3235967344371602e-06,0.0011504767422408678,0.0025579698459664525
future,attention,24,8x,1.6990020412777085e-06,0.0013034577251593963,0.002885796954011846
future,attention,25,8x,2.719797294048476e-06,0.001649180794833749,0.0034719712806152657
future,attention,26,8x,3.6336418816063087e-06,0.0019062113947845105,0.004128094041605305
future,attention,27,8x,7.709717465331778e-06,0.002776637798729207,0.005894126460961028
future,attention,28,8x,2.400387984380359e-06,0.001549318554842857,0.001840860101828988
future,attention,29,8x,2.1852556528756395e-05,0.004674671809737706,0.008427682513854725
future,attention,30,8x,1.0864539945032448e-05,0.0032961401585843474,0.0027170594235806354
future,attention,31,8x,8.732758578844368e-05,0.0093449229953191,0.00585100533881498
